state_id,episode,seed,step,teacher_macro,num_candidates,beneficial_candidates,regret_candidates,teacher_reward,teacher_success,teacher_cost_ratio
ep8_step4_seed8,8,,4,direct_solve,3,0,3,-23.139483648880496,False,0.5878787878787879
ep8_step5_seed8,8,,5,direct_solve,3,1,2,-39.87049804543808,False,0.6075757575757575
ep8_step6_seed8,8,,6,direct_solve,3,1,2,-43.46192327116985,False,0.6075757575757575
ep8_step7_seed8,8,,7,direct_solve,3,1,2,-39.774486004808516,False,0.6090909090909091
ep8_step8_seed8,8,,8,direct_solve,3,2,1,-50.482913202143635,False,0.6075757575757575
ep8_step9_seed8,8,,9,research_context,3,1,2,-47.787850923566246,False,0.6303030303030303
ep8_step10_seed8,8,,10,research_context,3,1,2,-48.41924607654215,False,0.6303030303030303
ep8_step11_seed8,8,,11,direct_solve,3,3,0,-49.78233642641418,False,0.6303030303030303
ep8_step12_seed8,8,,12,direct_solve,3,2,1,-62.2087182134629,False,0.6075757575757575
ep8_step13_seed8,8,,13,direct_solve,3,2,1,-51.30547601988733,False,0.6303030303030303
ep8_step14_seed8,8,,14,direct_solve,3,2,1,-51.72381983067892,False,0.6075757575757575
ep8_step15_seed8,8,,15,decompose_shallow,2,1,1,-27.564855633898446,False,0.5878787878787879
ep8_step16_seed8,8,,16,direct_solve,3,3,0,-32.984776478100684,False,0.6303030303030303
ep8_step17_seed8,8,,17,decompose_shallow,1,0,1,-27.98929980024689,False,0.5878787878787879
ep8_step18_seed8,8,,18,direct_solve,3,1,2,-28.69010757382301,False,0.5878787878787879
ep8_step19_seed8,8,,19,decompose_shallow,1,0,1,-28.415995898331147,False,0.5878787878787879
ep8_step20_seed8,8,,20,submit,3,2,1,-28.44159499982711,False,0.5878787878787879
ep9_step0_seed9,9,,0,research_context,3,1,2,-32.80381648224849,False,0.6053030303030303
ep9_step1_seed9,9,,1,research_context,3,3,0,-41.596134299706236,False,0.6303030303030303
ep9_step2_seed9,9,,2,direct_solve,2,1,1,-42.78493466790103,False,0.6303030303030303
ep9_step3_seed9,9,,3,direct_solve,2,2,0,-49.07678934863854,False,0.6303030303030303
ep9_step4_seed9,9,,4,direct_solve,3,2,1,-52.04030423729229,False,0.6303030303030303
ep9_step5_seed9,9,,5,direct_solve,3,3,0,-58.557803754708104,False,0.6303030303030303
ep9_step6_seed9,9,,6,direct_solve,3,2,1,-65.60013366392246,False,0.6303030303030303
ep9_step7_seed9,9,,7,research_context,3,2,1,-63.79399576235441,False,0.6053030303030303
ep9_step9_seed9,9,,9,direct_solve,3,2,1,-73.61879791568452,False,0.6303030303030303
ep9_step10_seed9,9,,10,direct_solve,3,3,0,-71.42859797928182,False,0.6053030303030303
ep9_step11_seed9,9,,11,direct_solve,3,3,0,-77.19363315441281,False,0.6053030303030303
ep9_step12_seed9,9,,12,direct_solve,3,3,0,-63.433894938214706,False,0.6303030303030303
ep9_step13_seed9,9,,13,decompose_shallow,2,1,1,-48.68975409908275,False,0.6303030303030303
ep9_step14_seed9,9,,14,direct_solve,3,3,0,-54.980602899754885,False,0.6053030303030303
ep9_step15_seed9,9,,15,decompose_shallow,1,1,0,-54.7242889659548,False,0.6053030303030303
ep9_step16_seed9,9,,16,direct_solve,3,3,0,-55.46891670940248,False,0.6053030303030303
ep9_step17_seed9,9,,17,direct_solve,1,1,0,-55.206934776639784,False,0.6053030303030303
ep9_step18_seed9,9,,18,direct_solve,3,3,0,-50.92808954787506,False,0.6053030303030303
ep9_step19_seed9,9,,19,decompose_shallow,2,1,1,-40.13367844984187,False,0.6053030303030303
ep9_step20_seed9,9,,20,submit,2,1,1,-34.47955826331972,False,0.6053030303030303
ep10_step0_seed10,10,,0,research_context,3,2,1,-67.3160616880353,False,0.6613636363636364
ep10_step8_seed10,10,,8,direct_solve,3,3,0,-96.0781564637485,False,0.6613636363636364
ep10_step9_seed10,10,,9,direct_solve,3,2,1,-79.6381327985628,False,0.6401515151515151
ep10_step10_seed10,10,,10,direct_solve,3,3,0,-120.18349617656757,False,0.7053030303030303
ep10_step11_seed10,10,,11,direct_solve,3,3,0,-93.83021559270377,False,0.6613636363636364
ep10_step12_seed10,10,,12,direct_solve,2,2,0,-99.46210259661866,False,0.7053030303030303
ep10_step13_seed10,10,,13,direct_solve,2,2,0,-75.20700699511917,False,0.7053030303030303
