method,episode,reward,success,steps,constraint_penalty,token_spent,verifier_calls,budgeted_success,catastrophic_failure,action_entropy
aegis_no_graph,2,-120.7316807032825,0.0,14,0.09202335569231275,23300.0,10.0,0.0,0.0,1.7478680610656738
aegis_no_graph,3,-57.613718205647835,0.0,22,0.09202335569231275,27000.0,0.0,0.0,0.0,1.0335620641708374
aegis_no_constraints,0,16.784324756890094,0.0,20,0.0,0.0,0.0,0.0,0.0,1.6569464206695557
aegis_no_constraints,1,74.26610629792026,1.0,14,0.0,0.0,0.0,1.0,0.0,1.7347643375396729
aegis_no_constraints,2,33.20900189291169,1.0,13,0.0,0.0,0.0,1.0,0.0,1.6977335214614868
aegis_no_constraints,3,-155.32579720324853,0.0,23,0.0,0.0,0.0,0.0,0.0,0.5825842618942261
aegis_warm_start,0,-24.162309336098048,0.0,9,0.09282102012308148,31050.0,9.0,0.0,0.0,1.7351263761520386
aegis_warm_start,1,58.262938124651214,1.0,10,0.0849905364703001,24000.0,0.0,1.0,0.0,1.6094378232955933
aegis_warm_start,2,-16.09045841716591,0.0,16,0.09202335569231275,27300.0,0.0,0.0,0.0,1.3686895370483398
aegis_warm_start,3,-82.3965771431372,0.0,14,0.09202335569231275,22900.0,0.0,0.0,0.0,1.170997142791748
baseline_always_direct,0,-7.180000000000003,0.0,24,0.0,52800.0,0.0,0.0,0.0,0.0
baseline_always_direct,1,-7.180000000000003,0.0,24,0.0,52800.0,0.0,0.0,0.0,0.0
baseline_always_direct,2,-7.180000000000004,0.0,24,0.0,52800.0,0.0,0.0,0.0,0.0
baseline_always_direct,3,-7.180000000000004,0.0,24,0.0,52800.0,0.0,0.0,0.0,0.0
baseline_always_decompose,0,-6.96,0.0,24,0.0,19200.0,0.0,0.0,0.0,0.0
baseline_always_decompose,1,-6.96,0.0,24,0.0,19200.0,0.0,0.0,0.0,0.0
baseline_always_decompose,2,-6.96,0.0,24,0.0,19200.0,0.0,0.0,0.0,0.0
baseline_always_decompose,3,-6.96,0.0,24,0.0,19200.0,0.0,0.0,0.0,0.0
baseline_heuristic,0,23.790370685777365,1.0,17,0.0,25000.0,4.0,1.0,0.0,0.0
baseline_heuristic,1,15.101454452393295,1.0,14,0.0,17850.0,4.0,1.0,0.0,0.0
baseline_heuristic,2,-9.406414237003052,0.0,24,0.0,35100.0,4.0,0.0,0.0,0.0
baseline_heuristic,3,-12.771556089333453,0.0,13,0.0,17000.0,4.0,0.0,0.0,0.0
baseline_contextual_bandit,0,-11.31463109298736,0.0,9,0.0,14850.0,0.0,0.0,0.0,0.0
baseline_contextual_bandit,1,-13.665658016857813,0.0,24,0.0,31050.0,2.0,0.0,0.0,0.0
baseline_contextual_bandit,2,-6.776781454821689,0.0,24,0.0,20200.0,0.0,0.0,0.0,0.0
baseline_contextual_bandit,3,-6.917124963362013,0.0,24,0.0,19950.0,0.0,0.0,0.0,0.0
baseline_dueling_dqn,0,-10.479999999999999,0.0,2,0.0,1100.0,0.0,0.0,0.0,0.0
baseline_dueling_dqn,1,-12.672674347330737,0.0,10,0.0,14900.0,0.0,0.0,0.0,0.0
baseline_dueling_dqn,2,-10.91049191450039,0.0,5,0.0,5700.0,0.0,0.0,0.0,0.0
baseline_dueling_dqn,3,-10.77,0.0,3,0.0,1900.0,0.0,0.0,0.0,0.0
